case_group,case_id,metric,value,RAC_value,change_percent,percent_unavailable_reason
buffer_pressure,B_P85_N9,branch1_rope_tension_abs_peak_N,536055.2053572799,850845.5854806274,-36.997357158000426,
buffer_pressure,B_P85_N9,branch2_rope_tension_p95_N,504037.7403374992,760518.5399030717,-33.7244637847042,
buffer_pressure,B_P85_N9,branch2_rope_tension_abs_peak_N,538387.1320605397,855135.6076777729,-37.040730472843144,
buffer_pressure,B_P85_N9,soil_x_displacement_rms_m,0.10035266923227086,0.08640864499491943,16.137302278228407,
buffer_pressure,B_P85_N9,soil_x_displacement_abs_peak_m,0.290597330848807,0.23833334670911777,21.92894316357528,
buffer_pressure,B_P85_N9,soil_rotation_rms_rad,0.028781229832413307,0.023794465471623706,20.957664994561906,
buffer_pressure,B_P85_N9,soil_rotation_abs_peak_rad,0.07326538389553199,0.070062974700602,4.570758248011523,
buffer_pressure,B_P85_N9,soil_force_x_total_rms_N,3134333.5556960925,3211366.7482100907,-2.3987665861251717,
buffer_pressure,B_P85_N9,soil_force_x_total_abs_peak_N,12908027.81777762,12607581.521226423,2.383060510418745,
buffer_pressure,B_P85_N9,soil_moment_total_rms_Nm,8096883.66741476,8440718.929406008,-4.0735305234887615,
buffer_pressure,B_P85_N9,soil_moment_total_abs_peak_Nm,33937395.70389191,33179091.205775462,2.285489055180785,
buffer_pressure,B_P85_N9,support_runtime_delta_x_force_rms_N,528905.9647739222,478427.42463583016,10.550929469922291,
buffer_pressure,B_P85_N9,support_runtime_delta_x_force_abs_peak_N,1975412.4657717384,1711493.652641907,15.420379311511862,
buffer_pressure,B_P85_N9,support_runtime_delta_pitch_moment_rms_Nm,277117910.3623425,282017297.5973248,-1.7372647978415305,
buffer_pressure,B_P85_N9,support_runtime_delta_pitch_moment_abs_peak_Nm,902385237.3257678,944032503.2381368,-4.411634744515072,
buffer_pressure,B_P85_N9,branch1_proxy_endstop_reaction_p95_N,1209467.0994598689,575878.0243323357,110.02140181718288,
buffer_pressure,B_P85_N9,branch1_proxy_endstop_reaction_abs_peak_N,1728008.292246656,881833.9660598005,95.95619569608111,
buffer_pressure,B_P85_N9,branch2_proxy_endstop_reaction_p95_N,629001.7035824072,930299.9482425514,-32.38721502987643,
buffer_pressure,B_P85_N9,branch2_proxy_endstop_reaction_abs_peak_N,908971.0726305319,999002.7056897056,-9.012151072905894,
buffer_pressure,RAC,soil_energy_total_J,9754911.229495715,9754911.229495715,0.0,
buffer_pressure,RAC,soil_energy_source_interval_contribution_J,7857376.310705911,7857376.310705911,0.0,
buffer_pressure,RAC,soil_energy_proxy_interval_contribution_J,810745.807542214,810745.807542214,0.0,
buffer_pressure,RAC,soil_energy_transition_interval_contribution_J,1086789.111247614,1086789.111247614,0.0,
buffer_pressure,RAC,source_frame_fraction,0.9715047492084653,0.9715047492084653,0.0,
buffer_pressure,RAC,proxy_frame_fraction,0.028495250791534744,0.028495250791534744,0.0,
buffer_pressure,RAC,roll_phi_rms_deg,0.1607811867737967,0.1607811867737967,0.0,
buffer_pressure,RAC,roll_phi_abs_peak_deg,0.629523989060107,0.629523989060107,0.0,
buffer_pressure,RAC,roll_p_rms_deg_s,0.12070771044567308,0.12070771044567308,0.0,
buffer_pressure,RAC,roll_p_abs_peak_deg_s,0.8024914273104661,0.8024914273104661,0.0,
buffer_pressure,RAC,buffer_relative_pitch_rms_rad,0.02274643210347487,0.02274643210347487,0.0,
buffer_pressure,RAC,buffer_relative_pitch_abs_peak_rad,0.04491263224289723,0.04491263224289723,0.0,
